node,parents,state,p
COHERENCE,,LOW,0.25
COHERENCE,,MID,0.50
COHERENCE,,HIGH,0.25
COMPLEXITY,,LOW,0.20
COMPLEXITY,,MID,0.50
COMPLEXITY,,HIGH,0.30
LEGIBILITY,,LOW,0.25
LEGIBILITY,,MID,0.50
LEGIBILITY,,HIGH,0.25
MYSTERY,,LOW,0.30
MYSTERY,,MID,0.50
MYSTERY,,HIGH,0.20
RESTORATION,,LOW,0.25
RESTORATION,,MID,0.45
RESTORATION,,HIGH,0.30
AFFECT_COSY,,LOW,0.20
AFFECT_COSY,,MID,0.45
AFFECT_COSY,,HIGH,0.35
AFFECT_WELCOMING,,LOW,0.20
AFFECT_WELCOMING,,MID,0.40
AFFECT_WELCOMING,,HIGH,0.40
AFFECT_TRANQUIL,,LOW,0.25
AFFECT_TRANQUIL,,MID,0.45
AFFECT_TRANQUIL,,HIGH,0.30
AFFECT_SCARY,,LOW,0.60
AFFECT_SCARY,,MID,0.30
AFFECT_SCARY,,HIGH,0.10
AFFECT_JARRING,,LOW,0.55
AFFECT_JARRING,,MID,0.30
AFFECT_JARRING,,HIGH,0.15